name, alcohol content, calories, type
Abita Amber, 4.5, 128, lager
Abita Light, 4.0, 118, lager
Abita Golden, 4.2, 125, lager
Abita Jockamo IPA, 6.5, 190, IPA
Abita Purple Haze, 4.2, 128, lager
Abita Restoration Pale Ale, 5.2, 167, ale
Abita Turbodog, 5.6, 168, ale
Abita Mardi Gras Bock, 6.5, 187, lager
Abita Spring IPA, 6.25, 180, IPA
Abita Lemon Wheat, 4.4, 135, lager
Abita Fall Fest, 5.4, 167, lager
Abita Strawberry, 4.2, 128, lager
Abita Satsuma, 5.2, 155, lager
Abita Pecan, 5.2, 150, ale
Abita Abbey Ale, 8.0, 230, ale
Abita Andygator, 8.0, 235, lager
Abita S.O.S., 7.0, 200, lager
LA-31 Bière Pâle, 5.74, 172, ale 
LA-31 Boucanèe, 5.1, 153, ale
LA-31 Bière Noire, 4.8, 144, porter
LA-31 Passionné, 5.74, 172, ale
Chafunkta Voo Ka Ray IPA, 7.5, 225, IPA
Chafunkta Old 504, 5.5, 165, porter
NOLA Blonde, 4.9, 147, ale
NOLA Brown, 3.9, 117, ale
NOLA Hopitoulas, 6.5, 195, IPA
NOLA 7th St Wheat, 4.5, 135, ale
NOLA Flambeau Red, 5.7, 171, ale
Parish Canebrake, 4.9, 150, ale
Parish Envie, 5.5, 165, ale
Parish Grand Reserve, 10, 300, barley wine
Parish Farmhouse IPA, 7.5, 225, IPA
Tin Roof Blonde Ale, 4.5, 135, ale
Tin Roof Perfect Tin Amber Ale, 4.5, 135, ale
Tin Roof Voodoo Bengal Pale Ale, 5.5, 165, ale
Tin Roof Parade Ground Coffee Porter, 7, 210, porter
Tin Roof Watermelon Weat, 5, 150, ale